DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB00027,BTD00036 | BIOD00036,Gramicidin D,1405-97-6,5IE62321P4,Bacillus brevis gramicidin D | Gramicidin | Gramicidin A | Gramicidin B | Gramicidin C | Gramicidina | Gramicidine,NDAYQJDHGXTBJL-MWWSRJDJSA-N
DB00028,BTD00091 | BIOD00091,Human immunoglobulin G,308067-58-5,66Y330CJHS,"Aerosolized pooled immune globulin | Human gammaglobulin | Human IGG | Human immunoglobulin G | Human normal immunoglobulin | Immune globulin (human) | Immune globulin human | Immunoglobulin (human) | Immunoglobulin G (human) | Immunoglobulin G, human | Intravenous immune globulin (human) | Intravenous immunoglobulin (IVIg)",
DB00029,BTD00102 | BIOD00102,Anistreplase,81669-57-0,5O8V541HJ6,Anisoylated plasminogen streptokinase activator complex | Anistreplase | APSAC,
DB00030,BTD00105 | BIOD00105 | DB01383 | DB05278 | DB05215 | DB05283 | DB08914,Insulin human,11061-68-0,1Y17CTI5SR,"High molecular weight insulin human | Human insulin | human insulin (rDNA) | Insulin (human) | Insulin human | Insulin human [rDNA origin] | Insulin Human Regular | Insulin human regular (rDNA) | Insulin human, rDNA origin | Insulin recombinant human | Insulin recombinant purified human | Insulin regular | Insulin, human | Insulina regular | Neutral insulin | Regular Insulin, human | Soluble insulin",
DB00031,BTD00019 | BIOD00019,Tenecteplase,191588-94-0,WGD229O42W,Tenecteplasa | Tenecteplase | TNK-tPA,
DB00032,BTD00018 | BIOD00018,Menotropins,9002-68-0,8FYM5179QJ,Human menopausal gonadotrophin | Menotrophin | Menotropin | Menotropina | Menotropins (FSH;LH),
DB00033,BTD00017 | BIOD00017,Interferon gamma-1b,98059-61-1,21K6M2I7AG,"IFN-gamma 1b | IFN-gamma-1b | Interferon gamma 1-b | Interferon gamma-1b | Interferon gamma-1b, recombinant | Interferon gamma-2a",
DB00034,BTD00095 | BTD00012 | BIOD00095 | BIOD00012 | DB00037,Interferon alfa-2a,76543-88-9,47RRR83SK7,"Interferon alfa-2a | Interferon alfa-2a (genetical recombination) | Interferon alfa-2a (recombinant) | Interferon alfa-2a, recombinant | Interferon alfa-2a,recombinant | Interferon alpha-2a | Interferon-alfa-2a | Recombinant human interferon alfa-2a | Recombinant human interferon-alfa-2a | rIFN-alpha-2a | SH-polypeptide-46",
DB00035,BTD00112 | BTD00061 | BIOD00112 | BIOD00061,Desmopressin,16679-58-6,ENR1LLB0FP,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-desamino-8-D-arginine vasopressin | dDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum,NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00036,BTD00006 | BIOD00006,Coagulation factor VIIa Recombinant Human,102786-61-8,AC71R787OV,Coagulation factor VIIa | Coagulation factor VIIa (recombinant) | Coagulation factor VIIa (recombinant)-jncw | Eptacog alfa | Eptacog alfa (activated) | rFVIIa,
DB00038,BTD00021 | BIOD00021,Oprelvekin,145941-26-0,HM5641GA6F,IL-11 | Interleukin 11 | Interleukin-11 | Oprelvekin | Recombinant interleukin-11,
DB00039,BTD00042 | BIOD00042,Palifermin,162394-19-6,QMS40680K6,24-163 fibroblast growth factor 7 (human) | Palifermin | Palifermina,
DB00040,BTD00057 | BIOD00057,Glucagon,16941-32-5,76LA80IG2G,"Glucagon | Glucagon (recombinant dna origin) | Glucagon recombinant | Glucagon, human | Glucagon, porcine | Glucagone | Glucagonum",
DB00041,BTD00082 | BIOD00082,Aldesleukin,110942-02-4,M89N0Q7EQR,"125-L-serine-2-133-interleukin 2 (human reduced) | Aldesleukin | Aldesleukina | ILT-101 | ILT101 | Interleukin-2 aldesleukin | Interleukin-2(2-133),125-ser | Recombinant human interleukin-2 | Recombinant interleukin-2 human",
DB00042,BTD00070 | BIOD00070,Botulinum toxin type B,93384-44-2,0Y70779M1F,Botulin B | Botulinum antitoxin type B | Botulinum B toxin | Botulinum neurotoxin type B precursor | Botulinum toxin type B | BTX-B | RimabotulinumtoxinB | Toxina botulínica B,
DB00043,BTD00081 | BIOD00081,Omalizumab,242138-07-4,2P471X1Z11,Omalizumab,
DB00044,BTD00056 | BIOD00056,Lutropin alfa,152923-57-4,3JGY52XJNA,Lutropin alfa | Lutropin alpha | Lutropina alfa,
DB00045,BTD00054 | BIOD00054,Lyme disease vaccine (recombinant OspA),,TA735GI14L,Lipoprotein OspA antigen recombinant | Lipoprotein outer surface a borrelia burgdorferi antigen | OspA lipoprotein,
DB00046,BTD00065 | BIOD00065 | DB01310,Insulin lispro,133107-64-9,GFX7QIS1II,"Insulin lispro | Insulin lispro (genetical recombination) | Insulin lispro (rDNA origin) | Insulin lispro protamine | Insulin lispro protamine recombinant | Insulin lispro recombinant | insulin lispro-aabc | Insulin,lispro,human/rDNA | Insulin,lispro,protamine/rDNA | Insulina lispro",
DB00047,BTD00045 | BIOD00045 | DB01308,Insulin glargine,160337-95-1,2ZM8CX04RZ,Insulin glargine | Insulin glargine (rDNA origin) | Insulin glargine recombinant | insulin glargine-yfgn | Insulina glargina,
DB00048,BTD00010 | BIOD00010 | DB11249,Collagenase clostridium histolyticum,9001-12-1,9X7O8V25IT,Clostridiopeptidase A | Clostridium histolyticum enzymes | Collagenase | Collagenase clostridium histolyticum | collagenase clostridium histolyticum-aaes,
DB00049,BTD00090 | BIOD00090,Rasburicase,134774-45-1,08GY9K1EUO,Rasburicasa | Rasburicase | Recombinant urate oxidase | Urate oxidase,
DB00050,BTD00115 | APRD00686 | BIOD00115,Cetrorelix,120287-85-6,OON1HFZ4BA,Cetrorelix | Cetrorelixum,SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00051,BTD00049 | BIOD00049,Adalimumab,331731-18-1,FYS6T7F842,Adalimumab | Adalimumab (genetical recombination) | adalimumab-adaz | adalimumab-adbm | adalimumab-afzb | adalimumab-atto | adalimumab-bwwd | adalimumab-fkjp,
DB00052,BTD00086 | BIOD00086 | DB06417,Somatotropin,12629-01-5,NQX9KB6PCL,Growth hormone | Growth hormone (human) | hGH | Human growth hormone | Recombinant human growth hormone | rhGH | Somatotropin (human) | Somatotropin human | Somatotropin human growth hormone | Somatropin | Somatropin (rDNA origin) | Somatropin (recombinant DNA origin) | Somatropin [rDNA origin] | Somatropin recombinant | Somatropin(recombinant DNA origin) | Somatropina,
DB00053,BTD00026 | BIOD00026,Imiglucerase,154248-97-2,Q6U6J48BWY,Imiglucerasa | Imiglucerase,
DB00054,BTD00041 | BIOD00041,Abciximab,143653-53-6,X85G7936GV,Abciximab | Abciximab (genetical recombination) | c7E3,
DB00055,BTD00068 | BIOD00068,Drotrecogin alfa,98530-76-8,JGH8MYC891,"Activated protein C | Blood coagulation factor XIV (human) | Drotrecogin alfa (activated) | Drotrecogin alfa (activated), lyophilized | Drotrecogin alfa activated | Drotrecogin alfa, activated | Drotrecogin-alfa | Recombinant human activated protein C (rH-APC)",
DB00056,BTD00077 | BIOD00077,Gemtuzumab ozogamicin,220578-59-6,8GZG754X6M,Gemtuzumab ozogamicin,
DB00057,BTD00108 | BIOD00108,Indium In-111 satumomab pendetide,138955-27-8,7V9926378A,Indium (111In) satumomab pendetide | Indium In 111 satumomab pendetide | Indium-111 satumomab pendetide,
DB00058,BTD00002 | BIOD00002,Alpha-1-proteinase inhibitor,9041-92-3,F43I396OIS,".Alpha.-1 protease inhibitor | .Alpha.1-proteinase inhibitor human | 122320-05-2 | Alfa 1-proteinase inhibitor (human) | Alfa-1-antitripsina | Alfa1 antitrypsin | Alpha 1-antitrypsin | Alpha 1-Proteinase Inhibitor | Alpha 1-proteinase inhibitor (human) | Alpha 1-proteinase inhibitor human | Alpha 1-proteinase inhibitor, human | Alpha-1 protease inhibitor | Alpha-1 proteinase inhibitor (human) | Alpha-1-antiproteinase | Alpha-1-antitrypsin | Alpha-1-proteinase Inhibitor (human) | Alpha-1-proteinase inhibitor human | Alpha-1-proteinase Inhibitor, Human | Alpha-1-proteinase inhibitor,human | Alpha1-proteinase Inhibitor | Alpha1-proteinase inhibitor (human) | Alpha1-proteinase inhibitor human | Antileukoproteinase | API | Mucus proteinase inhibitor | Protease inhibitor wap4 | Recombinant secretory leucocyte protease inhibitor | Recombinant secretory leukocyte protease inhibitor | Secretory leukocyte protease inhibitor (human) | SLPI | Wap four-disulfide core domain protein 4",
DB00059,BTD00079 | BIOD00079,Pegaspargase,130167-69-0,7D96IR0PPM,Peg-asparaginase | Peg/L-asparaginase | Pegaspargasa | Pegaspargase,
DB00060,BTD00093 | BIOD00093,Interferon beta-1a,145258-61-3,XRO4566Q4R,"Interferon beta 1-a | Interferon beta 1a | Interferon beta-1a | Interferon beta-1a (recombinant human) | Interferon beta-1a (recombinant) | Interferon beta-1a,recombinant | Interferon beta, recombinant human | Interferon-beta-1a | SNG001",
DB00061,BTD00100 | BIOD00100,Pegademase,130167-68-9,HW3H7D91F6,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase | PEG-adenosine deaminase | pegADA | Pegademase | Pegademase bovine,
DB00062,BTD00059 | BTD00089 | BTD00101 | BIOD00059 | BIOD00089 | BIOD00101 | DB00096 | DB00064,Albumin human,9048-46-8,ZIF514RVZR,"Albumin (human) | Albumin human | Albumin, blood | Albumin, human | Albumin, human-kjda | Human albumin | Human serum albumin | Serum albumin",
DB00063,BTD00063 | BIOD00063,Eptifibatide,188627-80-7,NA8320J834,Eptifibatida | Eptifibatide | Integrelin | Intrifiban,
DB00065,BTD00004 | BIOD00004,Infliximab,170277-31-3,B72HH48FLU,Infliximab | Infliximab (genetical recombination) | Infliximab-abda | Infliximab-axxq | Infliximab-dyyb | Infliximab-qbtx,
DB00066,BTD00099 | BTD00064 | BIOD00099 | BIOD00064 | DB09024,Follitropin,146479-72-3,076WHW89TW,Folitropina alfa | Folitropina beta | Folitropina delta | Follicle stimulating hormone | Follitrophin alfa | Follitrophin alpha | Follitrophin beta | Follitropin alfa | Follitropin alfa/beta | Follitropin alpha | Follitropin beta | Follitropin delta | Follitropin gamma | Follotropin recombinant | FSH | FSH alpha | FSH-a | FSH-b | FSH-beta | Recombinant human follicle stimulating hormone beta | Recombinant human follicle-stimulating hormone (r-HFSH) | rFSH-alpha,
DB00067,BTD00110 | BIOD00110 | DB09392,Vasopressin,11000-17-2,Y87Y826H08,"Vasopressin, unspecified | Vasopressina",JLTCWSBVQSZVLT-UHFFFAOYSA-N
DB00068,BTD00078 | BIOD00078,Interferon beta-1b,145155-23-3,TTD90R31WZ,"Interferon beta 1b (recombinant) | Interferon beta-1b | Interferon beta-1b,recombinant | Interferon-beta-1b | Recombinant interferon beta-1b",
DB00069,BTD00062 | BIOD00062,Interferon alfacon-1,118390-30-0,56588OP40D,IFN Alfacon-1 | IFN-Con1 | Interferon alfacon-1,
DB00070,BTD00022 | BIOD00022,Hyaluronidase (ovine),488712-31-8,64R4OHP8T0,"Hyaluronidase (glycoprotein, sheep testis isoenzyme) | Hyaluronidase (ovine) | Hyaluronidase (sheep testis isoenzyme) | Hyaluronidase, ovine | Ovine hyaluronidase",
DB00071,BTD00031 | BIOD00031,Insulin pork,12584-58-6,AVT680JB39,"Insulin (pork) | Insulin porcine | Insulin purified porcine | Insulin purified pork | Insulin, porcine | Insulin, regular, pork | Porcine insulin",
DB00072,BTD00098 | BIOD00098,Trastuzumab,180288-69-1,P188ANX8CK,RHUMAB HER2 | Trastuzumab | trastuzumab-anns | trastuzumab-dkst | trastuzumab-dttb | trastuzumab-pkrb | trastuzumab-qyyp,
DB00073,BTD00014 | BIOD00014,Rituximab,174722-31-7,4F4X42SYQ6,Rituximab | rituximab-abbs | rituximab-arrx | rituximab-pvvr,
DB00074,BTD00073 | BIOD00073,Basiliximab,179045-86-4,9927MT646M,Basiliximab,
DB00075,BTD00005 | BIOD00005,Muromonab,140608-64-6,JGA39ICE2V,Anti-CD3 | Muromonab-CD3,
DB00076,BTD00046 | BTD00027 | BIOD00046 | BIOD00027,Digoxin Immune Fab (Ovine),,YB12NQZ1YN,"Digitalis antitoxin | Digoxin Immune Fab, Ovine | Digoxin-specific Antibody Fragments | Ovine digoxin immune fab",
DB00078,BTD00069 | BIOD00069,Ibritumomab tiuxetan,206181-63-7,4Q52C550XK,Ibritumomab | Ibritumomab tiuxetan | mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),
DB00080,BTD00111 | BIOD00111,Daptomycin,103060-53-3,NWQ5N31VKK,Daptomicina | Daptomycin | Daptomycine | Daptomycinum,DOAKLVKFURWEDJ-QCMAZARJSA-N
DB00081,BTD00085 | BIOD00085 | DB09557,Tositumomab,208921-02-2,0343IGH41U,Tositumomab,
DB00082,BTD00044 | BIOD00044,Pegvisomant,218620-50-9,N824AOU5XV,Pegvisomant,
DB00083,BTD00092 | BIOD00092,Botulinum toxin type A,93384-43-1,0A6JH35GMQ,AbobotulinumtoxinA | Botulinum A neurotoxin | Botulinum antitoxin type A | Botulinum toxin A | Botulinum toxin type A | BTX-A | EvabotulinumtoxinA | IncobotulinumtoxinA | OnabotulinumtoxinA | Prabotulinumtoxin A | Toxina botulínica A | Toxine botulinique A,
DB00085,BTD00067 | BIOD00067 | DB05356,Pancrelipase,53608-75-6,FQ3DRG0N5K,Pancrealipase | Pancreatic extract pancrelipase | Pancreatic protease | Pancreatin | Pancreatinum | Pancrelipase | Pancrelipase (amylase;lipase;protease),
DB00086,BTD00028 | BIOD00028,Streptokinase,9002-01-1,8X1OXL3SNU,Estreptoquinasa | Streptochinasi | Streptococcal fibrinolysin | Streptokinase | Streptokinasum,
DB00087,BTD00109 | BIOD00109,Alemtuzumab,216503-57-0,3A189DH42V,Alemtuzumab,
DB00088,BTD00037 | BIOD00037,Alglucerase,143003-46-7,27T56C7KK0,Alglucerase,
DB00089,BTD00080 | BIOD00080,Capromab pendetide,145464-28-4,BDO5072GRX,(111In)-Capromab pendetide | Capromab pendetide | Indium (111In) capromab pendetide | Indium 111 Capromab Pendetide | Indium In 111 capromab pendetide,
DB00090,BTD00008 | BIOD00008,Laronidase,210589-09-6,WP58SVM6R4,alpha-L-Idosiduronase | Human Recombinant alpha-L-iduronidase | Laronidasa | Laronidase | Laronidase (genetical recombination),
DB00091,BTD00003 | BIOD00003,Cyclosporine,59865-13-3,83HN0GTJ6D,Ciclosporin | Ciclosporina | Ciclosporine | Ciclosporinum | CsA | CyA | Cyclosporin | Cyclosporin A | Cyclosporine,PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00092,BTD00055 | BIOD00055,Alefacept,222535-22-0,ELK3V90G6C,Alefacept,
DB00093,BTD00114 | BIOD00114,Felypressin,56-59-7,17N2918V6G,2-(L-phenylalanine)-8-L-lysinevasopressin | Felipresina | Felypressin | Felypressine | Felypressinum | PLV-2,
DB00094,BTD00104 | BIOD00104,Urofollitropin,97048-13-0,W9BB98U6HP,Follitropin human | Urofollitrophin | Urofollitropin,
DB00095,BTD00074 | BIOD00074,Efalizumab,214745-43-4,XX2MN88N5D,anti-CD11a | antiCD11 alpha | Efalizumab,
DB00097,BTD00034 | BIOD00034,Choriogonadotropin alfa,177073-44-8,6413W06WR3,Choriogonadotropin alfa | Choriogonadotropin alpha | Chorionic gonadotropin (recombinant),
DB00098,BTD00040 | BIOD00040,Antithymocyte immunoglobulin (rabbit),308067-60-9,D7RD81HE4W,"Anti-human thymocyte immunoglobulin, rabbit | Anti-T-lymphocyte immune globulin, rabbit | Anti-thymocyte globulin (rabbit) | Anti-thymocyte globulin rabbit | Antithymocyte immunoglobulin | Lapine T-lymphocyte immune globulin | Rabbit anti-human thymocyte globulin | Rabbit anti-human thymocyte globulin (rATG) | Rabbit anti-human thymocyte immunoglobulin | Rabbit anti-thymocyte immunoglobulin | Rabbit antithymocyte globulin | Rabbit ATG | rATG | Thymoglobulin | Thymoglobuline",
DB00099,BTD00072 | BIOD00072 | DB09560,Filgrastim,121181-53-1,PVI5M0M1GW,Filgrastim | Filgrastim-aafi | Filgrastim-sndz | G-CSF  | Granulocyte Colony Stimulating Factor  | Tbo-filgrastim,
DB00100,BTD00038 | BIOD00038,Coagulation Factor IX (Recombinant),181054-95-5,382L14738L,"Coagulation factor IX (recombinant) | Coagulation factor IX recombinant human | Coagulation factor IX, recombinant | Factor IX (Recombinant) | nonacog alfa | nonacog gamma | Recombinant factor IX",
DB00102,BTD00053 | BIOD00053,Becaplermin,165101-51-9,1B56C968OA,"Becaplermin | PDGF-2 | PDGF-BB | PDGFB | Platelet-derived growth factor BB, recombinant | Platelet-derived growth factor beta polypeptide | Recombinant platelet-derived growth factor BB | rhPDGF-BB | rPDGF-BB | SH-POLYPEPTIDE-59",
DB00103,BTD00075 | BIOD00075,Agalsidase beta,,RZD65TSM9U,Agalsidasa beta | Agalsidase beta | Agalsidase beta (genetical recombination),
DB00104,BTD00088 | BIOD00088,Octreotide,83150-76-9,RWM8CCW8GP,Octreotida | Octreotide | Octreotidum | Octrotide,
DB00105,BTD00066 | BIOD00066 | DB05600,Interferon alfa-2b,98530-12-2,43K1W2T1M6,"Interferon alfa-2b | Interferon alfa-2b (recombinant) | Interferon alfa-2b, recombinant | Interferon alpha-2B | Interferon α-2b | Intron (Interferon α2b) | Intron A | Intron A (Interferon α2b) | r-INF-alpha | rIFN-alpha-2b",
DB00106,BTD00051 | BIOD00051,Abarelix,183552-38-7,W486SJ5824,Abarelix,AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00107,BTD00016 | BIOD00016,Oxytocin,50-56-6,1JQS135EYN,Oxitocina | Oxytocin,
DB00108,BTD00083 | BIOD00083,Natalizumab,189261-10-7,3JB47N2Q2P,"Anti-alpha4 integrin | Anti-VLA4 | IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER | IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULPHIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER | Natalizumab",
DB00109,BTD00106 | BIOD00106,Enfuvirtide,159519-65-0,19OWO1T3ZE,Enfuvirtida | Enfuvirtide,
DB00110,BTD00097 | BIOD00097,Palivizumab,188039-54-5,DQ448MW7KS,Palivizumab,
DB00111,BTD00007 | BIOD00007,Daclizumab,152923-56-3,CUJ2MVI71Y,Dacliximab | Daclizumab | Daclizumab beta,
DB00112,BTD00087 | BIOD00087,Bevacizumab,216974-75-3,2S9ZZM9Q9V,Anti-VEGF Humanized Monoclonal Antibody | Anti-VEGF monoclonal antibody | Bevacizumab | bevacizumab-awwb | rhuMAb-VEGF,
DB00113,BTD00107 | BIOD00107,Technetium Tc-99m arcitumomab,154361-49-6,029JF1SCU8,Arcitumomab technetium-99m | Technetium (99mTc) arcitumomab | Technetium Tc 99m arcitumomab | Technetium-99m arcitumomab,
DB00114,NUTR00045,Pyridoxal phosphate,54-47-7,F06SGE49M6,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate | Codecarboxylase | PLP | Pyridoxal 5-monophosphoric acid ester | Pyridoxal 5-phosphate | Pyridoxal 5'-phosphate | Pyridoxal P | Pyridoxal phosphate anhydrous | Pyridoxal-5P | Pyridoxal-P,NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115,NUTR00004 | APRD00326 | EXPT00965,Cyanocobalamin,68-19-9,P6YC3EG204,Cianocobalamina | Cyanocob(III)alamin | Cyanocobalamin | Cyanocobalamine | Cyanocobalaminum | Vitamin B12 | Vitamin B12 complex | Vitamin B12 NOS,RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116,NUTR00056,Tetrahydrofolic acid,135-16-0,43ZWB253H4,"5,6,7,8-tetrahydrofolate | 5,6,7,8-tetrahydrofolic acid | Tetrahydrofolate",MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117,NUTR00030,Histidine,71-00-1,4QD397987E,(S)-4-(2-Amino-2-carboxyethyl)imidazole | (S)-a-Amino-1H-imidazole-4-propanoic acid | (S)-alpha-amino-1H-Imidazole-4-propanoic acid | (S)-alpha-Amino-1H-imidazole-4-propionic acid | (S)-α-amino-1H-Imidazole-4-propanoic acid | HIS | Histidina | Histidine | L-(−)-histidine | L-Histidin | L-Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118,NUTR00052,Ademetionine,29908-03-0,7LP2MPO46S,Ademetionine | AdoMet | L-S-Adenosylmethionine | S-Adenosylmethionine | SAM | SAM-e | SAMe,MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119,NUTR00050 | DB11194,Pyruvic acid,127-17-3,8558G7RUTR,2-ketopropionic acid | 2-oxopropanoic acid | 2-Oxopropansäure | 2-Oxopropionsäure | a-Ketopropionic acid | Acetylformic acid | acide pyruvique | alpha-ketopropionic acid | Brenztraubensäure | BTS | Pyroracemic acid | α-ketopropionic acid | α-Oxopropionsäure,LCTONWCANYUPML-UHFFFAOYSA-N
DB00120,NUTR00044,Phenylalanine,63-91-2,47E5O17Y3R,(S)-2-Amino-3-phenylpropionic acid | (S)-alpha-Amino-beta-phenylpropionic acid | 3-phenyl-L-alanine | beta-Phenyl-L-alanine | F | Fenilalanina | L-Phenylalanine | Phe | Phenylalanine | Phenylalaninum | β-phenyl-L-alanine,COLNVLDHVKWLRT-QMMMGPOBSA-N
