DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter225,Botulinum toxin type A,DDInter67,Amikacin (liposome),Major
DDInter225,Botulinum toxin type A,DDInter361,Chlorphenesin,Moderate
DDInter225,Botulinum toxin type A,DDInter395,Clemastine,Moderate
DDInter225,Botulinum toxin type A,DDInter569,Diphenhydramine,Moderate
DDInter225,Botulinum toxin type A,DDInter593,Doxepin,Moderate
DDInter225,Botulinum toxin type A,DDInter594,Doxepin (topical),Moderate
DDInter225,Botulinum toxin type A,DDInter815,Gentamicin,Major
DDInter225,Botulinum toxin type A,DDInter834,Glycopyrronium,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter225,Botulinum toxin type A,DDInter1533,Promethazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1155,Mepyramine,Moderate
DDInter225,Botulinum toxin type A,DDInter1878,Tripelennamine,Moderate
DDInter351,Chloramphenicol,DDInter1377,Paclitaxel,Moderate
DDInter416,Clotrimazole,DDInter1377,Paclitaxel,Moderate
DDInter475,Dapsone,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,Moderate
DDInter670,Erythromycin,DDInter1377,Paclitaxel,Moderate
DDInter743,Fluconazole,DDInter1377,Paclitaxel,Moderate
DDInter843,Griseofulvin,DDInter1377,Paclitaxel,Moderate
DDInter1008,Ketoconazole,DDInter1377,Paclitaxel,Moderate
DDInter1202,Metronidazole,DDInter1377,Paclitaxel,Moderate
DDInter1209,Miconazole,DDInter1377,Paclitaxel,Moderate
DDInter1735,Tacrolimus,DDInter1377,Paclitaxel,Moderate
DDInter21,Acitretin,DDInter991,Isotretinoin,Major
DDInter29,Adapalene (topical),DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter53,Alpelisib,Moderate
DDInter72,Aminolevulinic acid,DDInter991,Isotretinoin,Major
DDInter73,Aminolevulinic acid (topical),DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter98,Anisindione,Moderate
DDInter991,Isotretinoin,DDInter107,Apalutamide,Moderate
DDInter991,Isotretinoin,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter127,Asparaginase Escherichia coli,DDInter991,Isotretinoin,Moderate
DDInter152,Azelaic acid (topical),DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter170,Bedaquiline,Moderate
DDInter991,Isotretinoin,DDInter186,Benzoyl peroxide (topical),Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter202,Bexarotene,DDInter991,Isotretinoin,Major
DDInter991,Isotretinoin,DDInter228,Brentuximab vedotin,Moderate
DDInter991,Isotretinoin,DDInter246,Budesonide,Moderate
DDInter991,Isotretinoin,DDInter264,Calaspargase pegol,Moderate
DDInter991,Isotretinoin,DDInter284,Cannabidiol,Moderate
DDInter293,Carbamazepine,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter338,Cenobamate,Moderate
DDInter405,Clofarabine,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter462,Dabrafenib,Moderate
DDInter991,Isotretinoin,DDInter492,Deflazacort,Moderate
DDInter498,Demeclocycline,DDInter991,Isotretinoin,Major
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter542,Dicoumarol,DDInter991,Isotretinoin,Moderate
DDInter598,Doxycycline,DDInter991,Isotretinoin,Major
DDInter991,Isotretinoin,DDInter614,Echinacea,Moderate
DDInter624,Efavirenz,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter649,Enzalutamide,Moderate
DDInter655,Epirubicin,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter660,Eravacycline,Major
DDInter690,Ethanol,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter718,Fenofibrate,Moderate
DDInter991,Isotretinoin,DDInter783,Fosphenytoin,Moderate
DDInter991,Isotretinoin,DDInter785,Fostamatinib,Moderate
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter905,Idelalisib,Moderate
DDInter947,Interferon beta-1a,DDInter991,Isotretinoin,Moderate
DDInter948,Interferon beta-1b,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter997,Ivacaftor,Moderate
DDInter991,Isotretinoin,DDInter1032,Lefamulin,Moderate
DDInter991,Isotretinoin,DDInter1033,Leflunomide,Major
DDInter991,Isotretinoin,DDInter1034,Lemborexant,Moderate
DDInter991,Isotretinoin,DDInter1039,Letermovir,Moderate
DDInter991,Isotretinoin,DDInter1085,Lomitapide,Major
DDInter991,Isotretinoin,DDInter1094,Lorlatinib,Moderate
DDInter1137,Medroxyprogesterone acetate,DDInter991,Isotretinoin,Moderate
DDInter1174,Methotrexate,DDInter991,Isotretinoin,Moderate
DDInter1177,Methoxsalen,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1182,Methyl aminolevulinate (topical),Moderate
DDInter1191,Methylprednisolone,DDInter991,Isotretinoin,Moderate
DDInter1215,Mifepristone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1224,Minocycline,Major
DDInter991,Isotretinoin,DDInter1228,Mipomersen,Major
DDInter1263,Naltrexone,DDInter991,Isotretinoin,Moderate
DDInter1285,Nevirapine,DDInter991,Isotretinoin,Moderate
DDInter1300,Nitisinone,DDInter991,Isotretinoin,Moderate
DDInter1312,Norethisterone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1315,Norgestrel,Moderate
DDInter991,Isotretinoin,DDInter1327,Olaparib,Moderate
DDInter991,Isotretinoin,DDInter1336,Omadacycline,Major
DDInter1374,Oxytetracycline,DDInter991,Isotretinoin,Major
DDInter1404,Pegaspargase,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1409,Peginterferon beta-1a,Moderate
DDInter991,Isotretinoin,DDInter1435,Pexidartinib,Major
DDInter1460,Phenytoin,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1480,Pitolisant,Moderate
DDInter1493,Porfimer sodium,DDInter991,Isotretinoin,Moderate
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1515,Prednisone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1578,Remdesivir,Moderate
DDInter991,Isotretinoin,DDInter1601,Ripretinib,Moderate
DDInter991,Isotretinoin,DDInter1626,Rucaparib,Moderate
DDInter1634,Salicylic acid (topical),DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1641,Sarecycline,Major
DDInter991,Isotretinoin,DDInter1658,Selpercatinib,Moderate
DDInter991,Isotretinoin,DDInter1698,Somapacitan,Moderate
DDInter991,Isotretinoin,DDInter1700,Somatrem,Moderate
DDInter1699,Somatotropin,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1322,Octasulfur (topical),Moderate
DDInter1749,Tazarotene (topical),DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1760,Telotristat ethyl,Moderate
DDInter991,Isotretinoin,DDInter1771,Teriflunomide,Major
DDInter1783,Tetracycline,DDInter991,Isotretinoin,Major
DDInter1814,Tioguanine,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1840,Trabectedin,Moderate
DDInter1853,Tretinoin,DDInter991,Isotretinoin,Major
DDInter1854,Tretinoin (topical),DDInter991,Isotretinoin,Moderate
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1865,Trifarotene (topical),Moderate
DDInter991,Isotretinoin,DDInter1925,Vemurafenib,Moderate
DDInter1929,Verteporfin,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter1951,Warfarin,DDInter991,Isotretinoin,Moderate
DDInter235,Brimonidine (ophthalmic),DDInter722,Fentanyl,Moderate
DDInter236,Brimonidine (topical),DDInter722,Fentanyl,Moderate
DDInter351,Chloramphenicol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter361,Chlorphenesin,Major
DDInter395,Clemastine,DDInter722,Fentanyl,Moderate
DDInter416,Clotrimazole,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter722,Fentanyl,DDInter569,Diphenhydramine,Moderate
DDInter722,Fentanyl,DDInter593,Doxepin,Major
DDInter722,Fentanyl,DDInter594,Doxepin (topical),Major
DDInter670,Erythromycin,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter690,Ethanol,Moderate
DDInter743,Fluconazole,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter834,Glycopyrronium,Moderate
DDInter843,Griseofulvin,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1008,Ketoconazole,Major
DDInter722,Fentanyl,DDInter1209,Miconazole,Moderate
DDInter1226,Minoxidil,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1533,Promethazine,Moderate
DDInter722,Fentanyl,DDInter1155,Mepyramine,Moderate
DDInter722,Fentanyl,DDInter1735,Tacrolimus,Moderate
DDInter1878,Tripelennamine,DDInter722,Fentanyl,Moderate
DDInter351,Chloramphenicol,DDInter9,Acalabrutinib,Moderate
DDInter416,Clotrimazole,DDInter9,Acalabrutinib,Moderate
DDInter501,Deoxycholic acid,DDInter9,Acalabrutinib,Moderate
DDInter513,Dexamethasone,DDInter9,Acalabrutinib,Moderate
DDInter537,Diclofenac,DDInter9,Acalabrutinib,Major
DDInter538,Diclofenac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter539,Diclofenac (topical),DDInter9,Acalabrutinib,Moderate
DDInter670,Erythromycin,DDInter9,Acalabrutinib,Major
DDInter743,Fluconazole,DDInter9,Acalabrutinib,Major
DDInter843,Griseofulvin,DDInter9,Acalabrutinib,Moderate
DDInter1008,Ketoconazole,DDInter9,Acalabrutinib,Major
DDInter1209,Miconazole,DDInter9,Acalabrutinib,Moderate
DDInter37,Alclometasone (topical),DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter63,Amcinonide,Minor
DDInter11,Acarbose,DDInter195,Betamethasone,Moderate
DDInter11,Acarbose,DDInter196,Betamethasone (topical),Minor
DDInter11,Acarbose,DDInter403,Clobetasol (topical),Minor
DDInter11,Acarbose,DDInter404,Clocortolone (topical),Minor
DDInter11,Acarbose,DDInter509,Desonide (topical),Minor
DDInter11,Acarbose,DDInter510,Desoximetasone (topical),Minor
DDInter11,Acarbose,DDInter513,Dexamethasone,Moderate
DDInter11,Acarbose,DDInter515,Dexamethasone (ophthalmic),Minor
DDInter11,Acarbose,DDInter516,Dexamethasone (topical),Minor
DDInter550,Diflorasone (topical),DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter690,Ethanol,Moderate
DDInter11,Acarbose,DDInter753,Fluocinonide (topical),Minor
DDInter11,Acarbose,DDInter761,Flurandrenolide (topical),Minor
DDInter11,Acarbose,DDInter768,Fluticasone (topical),Minor
DDInter11,Acarbose,DDInter851,Halcinonide (topical),Minor
DDInter11,Acarbose,DDInter1898,Ulobetasol (topical),Minor
DDInter11,Acarbose,DDInter885,Hydrocortisone,Moderate
DDInter11,Acarbose,DDInter887,Hydrocortisone (topical),Minor
DDInter11,Acarbose,DDInter1191,Methylprednisolone,Moderate
DDInter11,Acarbose,DDInter1192,Methylprednisolone (topical),Minor
DDInter11,Acarbose,DDInter1277,Neomycin,Moderate
DDInter11,Acarbose,DDInter1512,Prednicarbate (topical),Minor
DDInter11,Acarbose,DDInter1513,Prednisolone,Moderate
DDInter11,Acarbose,DDInter1533,Promethazine,Moderate
DDInter11,Acarbose,DDInter1735,Tacrolimus,Moderate
DDInter11,Acarbose,DDInter1855,Triamcinolone,Moderate
DDInter11,Acarbose,DDInter1857,Triamcinolone (ophthalmic),Moderate
DDInter11,Acarbose,DDInter1858,Triamcinolone (topical),Minor
DDInter1066,Lidocaine,DDInter12,Acebutolol,Moderate
DDInter27,Adalimumab,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter35,Albendazole,Minor
DDInter40,Alefacept,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter43,Alfentanil,Minor
DDInter1066,Lidocaine,DDInter54,Alprazolam,Moderate
DDInter1066,Lidocaine,DDInter64,Amifampridine,Moderate
DDInter1066,Lidocaine,DDInter66,Amikacin,Minor
DDInter1066,Lidocaine,DDInter67,Amikacin (liposome),Minor
DDInter1066,Lidocaine,DDInter71,Aminoglutethimide,Minor
DDInter1066,Lidocaine,DDInter76,Amiodarone,Moderate
DDInter1066,Lidocaine,DDInter81,Amobarbital,Minor
DDInter1066,Lidocaine,DDInter90,Amprenavir,Major
DDInter93,Anagrelide,DDInter1066,Lidocaine,Moderate
DDInter94,Anakinra,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter107,Apalutamide,Minor
DDInter1066,Lidocaine,DDInter112,Aprepitant,Moderate
DDInter1066,Lidocaine,DDInter114,Arbutamine,Major
DDInter1066,Lidocaine,DDInter119,Armodafinil,Minor
DDInter1066,Lidocaine,DDInter129,Atazanavir,Moderate
DDInter1066,Lidocaine,DDInter130,Atenolol,Moderate
DDInter1066,Lidocaine,DDInter135,Atracurium,Moderate
DDInter1066,Lidocaine,DDInter1364,Oxybuprocaine (ophthalmic),Moderate
DDInter1066,Lidocaine,DDInter184,Benzocaine (topical),Moderate
DDInter197,Betaxolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter202,Bexarotene,Minor
DDInter1066,Lidocaine,DDInter216,Bisoprolol,Moderate
DDInter1066,Lidocaine,DDInter221,Boceprevir,Moderate
DDInter1066,Lidocaine,DDInter223,Bosentan,Minor
DDInter1066,Lidocaine,DDInter229,Bretylium,Moderate
DDInter1066,Lidocaine,DDInter250,Bupivacaine (liposome),Major
DDInter1066,Lidocaine,DDInter252,Bupropion,Major
DDInter256,Butabarbital,DDInter1066,Lidocaine,Minor
DDInter257,Butalbital,DDInter1066,Lidocaine,Minor
DDInter1066,Lidocaine,DDInter281,Canakinumab,Moderate
DDInter1066,Lidocaine,DDInter287,Capmatinib,Moderate
DDInter1066,Lidocaine,DDInter293,Carbamazepine,Minor
DDInter1066,Lidocaine,DDInter303,Carteolol,Moderate
DDInter1066,Lidocaine,DDInter305,Carvedilol,Moderate
DDInter1066,Lidocaine,DDInter338,Cenobamate,Minor
DDInter1066,Lidocaine,DDInter340,Ceritinib,Moderate
DDInter1066,Lidocaine,DDInter342,Certolizumab pegol,Moderate
DDInter1066,Lidocaine,DDInter355,Chlordiazepoxide,Moderate
DDInter1066,Lidocaine,DDInter380,Cimetidine,Moderate
DDInter1066,Lidocaine,DDInter386,Cisatracurium,Moderate
DDInter1066,Lidocaine,DDInter401,Clobazam,Moderate
DDInter1066,Lidocaine,DDInter411,Clonazepam,Moderate
DDInter1066,Lidocaine,DDInter412,Clonidine,Minor
DDInter1066,Lidocaine,DDInter414,Clorazepic acid,Moderate
DDInter1066,Lidocaine,DDInter424,Cobicistat,Moderate
DDInter1066,Lidocaine,DDInter426,Cocaine (nasal),Moderate
DDInter1066,Lidocaine,DDInter427,Cocaine (topical),Moderate
DDInter1066,Lidocaine,DDInter438,Conivaptan,Major
DDInter1066,Lidocaine,DDInter462,Dabrafenib,Minor
DDInter1066,Lidocaine,DDInter482,Darunavir,Moderate
DDInter1066,Lidocaine,DDInter484,Dasatinib,Moderate
DDInter1066,Lidocaine,DDInter488,Deferasirox,Minor
DDInter1066,Lidocaine,DDInter496,Delavirdine,Moderate
DDInter1066,Lidocaine,DDInter513,Dexamethasone,Minor
DDInter1066,Lidocaine,DDInter534,Diazepam,Moderate
DDInter1066,Lidocaine,DDInter382,Cinchocaine (topical),Moderate
DDInter1066,Lidocaine,DDInter561,Diltiazem,Moderate
DDInter575,Disopyramide,DDInter1066,Lidocaine,Moderate
DDInter580,Dofetilide,DDInter1066,Lidocaine,Major
DDInter1066,Lidocaine,DDInter584,Dopamine,Minor
DDInter1066,Lidocaine,DDInter590,Doxacurium,Moderate
DDInter1066,Lidocaine,DDInter596,Doxorubicin,Minor
DDInter1066,Lidocaine,DDInter597,Doxorubicin (liposomal),Minor
DDInter1066,Lidocaine,DDInter602,Dronedarone,Moderate
DDInter1066,Lidocaine,DDInter612,Duvelisib,Moderate
DDInter1066,Lidocaine,DDInter614,Echinacea,Moderate
DDInter1066,Lidocaine,DDInter624,Efavirenz,Minor
DDInter1066,Lidocaine,DDInter625,Elagolix,Minor
DDInter1066,Lidocaine,DDInter634,Emapalumab,Moderate
DDInter1066,Lidocaine,DDInter649,Enzalutamide,Minor
DDInter675,Esmolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter677,Estazolam,Moderate
DDInter687,Etanercept,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter696,Ethotoin,Minor
DDInter1066,Lidocaine,DDInter703,Etravirine,Moderate
DDInter1066,Lidocaine,DDInter715,Felbamate,Minor
DDInter743,Fluconazole,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter760,Fluphenazine,Moderate
DDInter1066,Lidocaine,DDInter762,Flurazepam,Moderate
DDInter770,Fluvoxamine,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter777,Fosamprenavir,Major
DDInter1066,Lidocaine,DDInter778,Fosaprepitant,Moderate
DDInter1066,Lidocaine,DDInter783,Fosphenytoin,Minor
DDInter1066,Lidocaine,DDInter785,Fostamatinib,Moderate
DDInter1066,Lidocaine,DDInter815,Gentamicin,Minor
DDInter1066,Lidocaine,DDInter819,Ginkgo biloba,Moderate
DDInter1066,Lidocaine,DDInter821,Givosiran,Moderate
DDInter1066,Lidocaine,DDInter837,Golimumab,Moderate
DDInter1066,Lidocaine,DDInter843,Griseofulvin,Minor
DDInter1066,Lidocaine,DDInter849,Guselkumab,Moderate
DDInter1066,Lidocaine,DDInter850,Halazepam,Moderate
DDInter1066,Lidocaine,DDInter881,Hyaluronidase,Minor
DDInter1066,Lidocaine,DDInter901,Ibutilide,Moderate
DDInter1066,Lidocaine,DDInter905,Idelalisib,Moderate
DDInter1066,Lidocaine,DDInter909,Imatinib,Moderate
DDInter917,Indinavir,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter918,Indium In-111 oxyquinoline,Moderate
DDInter923,Infliximab,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter960,Iohexol,Major
DDInter1066,Lidocaine,DDInter961,Iopamidol,Major
DDInter1066,Lidocaine,DDInter995,Itraconazole,Moderate
DDInter1066,Lidocaine,DDInter997,Ivacaftor,Moderate
DDInter1066,Lidocaine,DDInter1000,Ivosidenib,Minor
DDInter1066,Lidocaine,DDInter1003,Ixekizumab,Moderate
DDInter1066,Lidocaine,DDInter1004,Kanamycin,Minor
DDInter1066,Lidocaine,DDInter1013,Labetalol,Moderate
DDInter1066,Lidocaine,DDInter1014,Lacosamide,Moderate
DDInter1066,Lidocaine,DDInter1021,Lanreotide,Moderate
DDInter1066,Lidocaine,DDInter1024,Lapatinib,Moderate
DDInter1066,Lidocaine,DDInter1026,Larotrectinib,Moderate
DDInter1066,Lidocaine,DDInter1032,Lefamulin,Moderate
DDInter1066,Lidocaine,DDInter1034,Lemborexant,Moderate
DDInter1066,Lidocaine,DDInter1072,Lindane,Moderate
DDInter1066,Lidocaine,DDInter1087,Lonafarnib,Moderate
DDInter1092,Lorazepam,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1094,Lorlatinib,Minor
DDInter1066,Lidocaine,DDInter1106,Lusutrombopag,Moderate
DDInter1066,Lidocaine,DDInter1140,Mefloquine,Moderate
DDInter1066,Lidocaine,DDInter1152,Mephenytoin,Minor
DDInter1066,Lidocaine,DDInter1190,Methylphenobarbital,Minor
DDInter1066,Lidocaine,DDInter1198,Metocurine,Moderate
DDInter1200,Metoprolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1206,Mexiletine,Moderate
DDInter1066,Lidocaine,DDInter1212,Midazolam,Moderate
DDInter1066,Lidocaine,DDInter1215,Mifepristone,Moderate
DDInter1066,Lidocaine,DDInter1233,Mitotane,Minor
DDInter1066,Lidocaine,DDInter1235,Mivacurium,Moderate
DDInter1066,Lidocaine,DDInter1236,Modafinil,Minor
DDInter1066,Lidocaine,DDInter1245,Morphine (liposomal),Moderate
DDInter1066,Lidocaine,DDInter1255,Nadolol,Moderate
DDInter1066,Lidocaine,DDInter1256,Nafcillin,Minor
DDInter1066,Lidocaine,DDInter1271,Nebivolol,Moderate
DDInter1066,Lidocaine,DDInter1274,Nefazodone,Moderate
DDInter1276,Nelfinavir,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1277,Neomycin,Minor
DDInter1066,Lidocaine,DDInter1283,Netilmicin,Minor
DDInter1285,Nevirapine,DDInter1066,Lidocaine,Minor
DDInter1066,Lidocaine,DDInter1299,Nitazoxanide,Moderate
DDInter1066,Lidocaine,DDInter1319,Obeticholic acid,Moderate
DDInter1323,Octreotide,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1327,Olaparib,Moderate
DDInter1066,Lidocaine,DDInter1340,Omeprazole,Minor
DDInter1066,Lidocaine,DDInter1351,Osilodrostat,Moderate
DDInter1066,Lidocaine,DDInter1352,Osimertinib,Minor
DDInter1066,Lidocaine,DDInter1359,Oxazepam,Moderate
DDInter1066,Lidocaine,DDInter1360,Oxcarbazepine,Minor
DDInter1066,Lidocaine,DDInter1385,Pancuronium,Moderate
DDInter1066,Lidocaine,DDInter1398,Pasireotide,Moderate
DDInter1066,Lidocaine,DDInter1417,Penbutolol,Moderate
DDInter1066,Lidocaine,DDInter1423,Pentobarbital,Minor
DDInter1066,Lidocaine,DDInter1435,Pexidartinib,Minor
DDInter1066,Lidocaine,DDInter1442,Phenobarbital,Minor
DDInter1066,Lidocaine,DDInter1451,Phenylbutazone,Minor
DDInter1460,Phenytoin,DDInter1066,Lidocaine,Minor
DDInter1066,Lidocaine,DDInter1471,Pindolol,Moderate
DDInter1066,Lidocaine,DDInter1473,Pipecuronium,Moderate
DDInter1066,Lidocaine,DDInter1482,Plazomicin,Minor
DDInter1066,Lidocaine,DDInter1487,Polyethylene glycol (3350 with electrolytes),Moderate
DDInter1066,Lidocaine,DDInter1494,Posaconazole,Moderate
