drug_code,drug_name,side_effect_code,side_effect_name
CID000004091,Metformin,C0919857,Ecg Signs Of Ventricular Hypertrophy
CID000004091,Metformin,C2363731,Oropharyngeal Pain
CID000004091,Metformin,C0014068,Encephalomalacia
CID000004091,Metformin,C0242698,Left Ventricular Dysfunction
CID000004091,Metformin,C0040336,Tobacco Abuse
CID000004091,Metformin,C0220870,Dizziness
CID000004091,Metformin,C0259813,Drop Attacks
CID000004091,Metformin,C0947846,Gastrointestinal Disorder
CID000004091,Metformin,C0149940,Sciatic Nerve Neuropathy
CID000004091,Metformin,C0239940,Glycosylated Haemoglobin Increased
CID000004091,Metformin,C0949059,Polyp Colorectal
CID000004091,Metformin,C0153676,Metastases To Lung
CID000004091,Metformin,C0751533,Subdural Hygroma
CID000004091,Metformin,C2129214,Diarrhoea
CID000004091,Metformin,C0263888,Back Disorder
CID000004091,Metformin,C0851744,Hepatocellular Damage
CID000004091,Metformin,C0851745,Anorectal Disorder
CID000004091,Metformin,C1695986,Hormone Level Abnormal
CID000004091,Metformin,C1096124,Meniscus Lesion
CID000004091,Metformin,C1328331,Hospitalisation
CID000004091,Metformin,C1319851,Nuclear Magnetic Resonance Imaging Brain Abnormal
CID000004091,Metformin,C0024633,Mallory-Weiss Syndrome
CID000004091,Metformin,C1455780,Aortic Valve Sclerosis
CID000004091,Metformin,C0009595,Obsessive-Compulsive Personality Disorder
CID000004091,Metformin,C0152517,Viral Diarrhoea
CID000004091,Metformin,C2242727,Tumour Compression
CID000004091,Metformin,C0151736,Injury
CID000004091,Metformin,C0023380,Lethargy
CID000004091,Metformin,C0015787,Female Sterilisation
CID000004091,Metformin,C0020457,Diabetic Hyperosmolar Coma
CID000004091,Metformin,C2697368,Gastrointestinal Tract Irritation
CID000004091,Metformin,C0263634,Excessive Granulation Tissue
CID000004091,Metformin,C0855237,Social Avoidant Behaviour
CID000004091,Metformin,C0877173,Food Aversion
CID000004091,Metformin,C1504377,Hyperglycaemic Hyperosmolar Nonketotic Syndrome
CID000004091,Metformin,C0013378,Dysgeusia
CID000004091,Metformin,C0007867,Cervix Disorder
CID000004091,Metformin,C1456868,Diabetic Foot
CID000004091,Metformin,C1739113,Bladder Transitional Cell Carcinoma
CID000004091,Metformin,C0221021,Microangiopathic Haemolytic Anaemia
CID000004091,Metformin,C0221022,Haemoglobinuria
CID000004091,Metformin,C0021775,Intermittent Claudication
CID000004091,Metformin,C0160059,Joint Sprain
CID000004091,Metformin,C0239234,Low Set Ears
CID000004091,Metformin,C0002888,Anaemia Megaloblastic
CID000004091,Metformin,C0232487,Abdominal Discomfort
CID000004091,Metformin,C0852432,Pancreatic Neoplasm
CID000004091,Metformin,C0341491,Pancreatic Duct Obstruction
CID000004091,Metformin,C0267792,Hepatobiliary Disease
CID000004091,Metformin,C0003838,Arterial Occlusive Disease
CID000004091,Metformin,C0579121,Diabetes Mellitus Inadequate Control
CID000004091,Metformin,C0342245,Diabetic Eye Disease
CID000004091,Metformin,C1142137,General Physical Condition
CID000004091,Metformin,C0035508,Rhonchi
CID000004091,Metformin,C1096564,Scrotal Cyst
CID000004091,Metformin,C0039338,Taste Disorders
CID000004091,Metformin,C1141862,Therapy Regimen Changed
CID000004091,Metformin,C0259799,Punctate Keratitis
CID000004091,Metformin,C0235295,Abdominal Discomfort
CID000004091,Metformin,C0856305,Stress
CID000004091,Metformin,C0858621,Blindness Transient
CID000004091,Metformin,C0877038,Electrocardiogram Poor R-Wave Progression
CID000004091,Metformin,C0854201,Tooth Malformation
CID000004091,Metformin,C0574012,Subclavian Artery Thrombosis
CID000004091,Metformin,C0191342,Wound Debridement
CID000004091,Metformin,C0162275,Ketonuria
CID000004091,Metformin,C0877406,Performance Status Decreased
CID000004091,Metformin,C0178298,Skin Disorder
CID000004091,Metformin,C0276089,Pneumonia Escherichia
CID000004091,Metformin,C0860554,Spinal Column Stenosis
CID000004091,Metformin,C0521579,Strabismus Congenital
CID000004091,Metformin,C0235710,Chest Discomfort
CID000004091,Metformin,C0006430,Burning Mouth Syndrome
CID000004091,Metformin,C0152965,Staphylococcal Bacteraemia
CID000004091,Metformin,C0554309,Acute Prerenal Failure
CID000004091,Metformin,C0262469,Embolic Stroke
CID000004091,Metformin,C0311277,Abdominal Obesity
CID000054454,Simvastatin,C0949040,Sinus Disorder
CID000054454,Simvastatin,C1737211,Hypoglycaemic Unconsciousness
CID000054454,Simvastatin,C0242979,Muscle Fatigue
CID000054454,Simvastatin,C0032961,Pregnancy
CID000054454,Simvastatin,C0522172,Feeling Drunk
CID000054454,Simvastatin,C0040440,Tooth Extraction
CID000054454,Simvastatin,C1699018,Device Malfunction
CID000054454,Simvastatin,C0038325,Erythema Multiforme
CID000054454,Simvastatin,C0854029,Blood Creatine Increased
CID000054454,Simvastatin,C0234238,Pain
CID000054454,Simvastatin,C0234233,Tenderness
CID000054454,Simvastatin,C0349782,Ischaemic Cardiomyopathy
CID000054454,Simvastatin,C0854303,Limb Discomfort
CID000054454,Simvastatin,C1328346,Wound Treatment
CID000054454,Simvastatin,C0877211,General Physical Health Deterioration
CID000054454,Simvastatin,C0337629,Economic Problem
CID000054454,Simvastatin,C1112251,Feeding Tube Complication
CID000054454,Simvastatin,C0700361,Emotional Distress
CID000054454,Simvastatin,C0919715,Lupus-Like Syndrome
CID000054454,Simvastatin,C0022362,Jaw Disorder
CID000054454,Simvastatin,C0022363,Jaw Fracture
CID000054454,Simvastatin,C0234458,Abnormal Dreams
CID000054454,Simvastatin,C0376405,Treatment Noncompliance
CID000054454,Simvastatin,C0264490,Acute Respiratory Failure
CID000054454,Simvastatin,C0025294,Meningitis Meningococcal
CID000054454,Simvastatin,C0497406,Overweight
CID000054454,Simvastatin,C0521849,Drug Interaction
CID000054454,Simvastatin,C0473120,Abdominal Haematoma
CID000054454,Simvastatin,C0271202,Hemianopia Homonymous
CID000054454,Simvastatin,C0948238,Erectile Dysfunction
CID000054454,Simvastatin,C0235431,Blood Creatinine Increased
CID000054454,Simvastatin,C0161744,Barotitis Media
CID000054454,Simvastatin,C0178417,Anhedonia
CID000054454,Simvastatin,C0409974,Systemic Lupus Erythematosus
CID000054454,Simvastatin,C0158439,Osteitis Deformans
CID000054454,Simvastatin,C0158266,Intervertebral Disc Degeneration
CID000054454,Simvastatin,C0919785,Transferrin Saturation Decreased
CID000054454,Simvastatin,C0237849,Skin Desquamation
CID000054454,Simvastatin,C0206239,Cubital Tunnel Syndrome
CID000054454,Simvastatin,C0017178,Gastrointestinal Disorder
CID000054454,Simvastatin,C0852909,Blood Bicarbonate Decreased
CID000054454,Simvastatin,C0677658,Breast Disorder Female
CID000054454,Simvastatin,C0948008,Ischaemic Stroke
CID000054454,Simvastatin,C0002957,Anger
CID000054454,Simvastatin,C0155840,Nasal Turbinate Hypertrophy
CID000054454,Simvastatin,C0021080,Immunosuppression
CID000054454,Simvastatin,C0854367,Soliloquy
CID000054454,Simvastatin,C0029453,Osteopenia
CID000054454,Simvastatin,C0853755,Blood Osmolarity Decreased
CID000054454,Simvastatin,C0037274,Dermatosis
CID000054454,Simvastatin,C0149782,Lung Squamous Cell Carcinoma Stage Unspecified
CID000054454,Simvastatin,C1735340,Extrasystoles
CID000054454,Simvastatin,C0021368,Inflammation
CID000054454,Simvastatin,C1963786,Quality Of Life Decreased
CID000054454,Simvastatin,C0919924,Pulmonary Toxicity
CID000054454,Simvastatin,C0220650,Brain Cancer Metastatic
CID000054454,Simvastatin,C1167981,Hypoaesthesia
CID000054454,Simvastatin,C0038587,Withdrawal Syndrome
CID000054454,Simvastatin,C0196573,Peripheral Nerve Decompression
CID000054454,Simvastatin,C0151576,Blood Creatine Phosphokinase Increased
CID000054454,Simvastatin,C0549622,Sexual Dysfunction
CID000054454,Simvastatin,C1328381,Chronic Left Ventricular Failure
CID000054454,Simvastatin,C0393761,Middle Insomnia
CID000054454,Simvastatin,C0751295,Amnesia
CID000054454,Simvastatin,C0040809,Refusal Of Treatment By Patient
CID000054454,Simvastatin,C0853702,Blood Immunoglobulin A Increased
CID000054454,Simvastatin,C0279672,Adenocarcinoma Of The Cervix
CID000054454,Simvastatin,C0857144,Metastatic Pain
CID000054454,Simvastatin,C0919857,Ecg Signs Of Ventricular Hypertrophy
CID000054454,Simvastatin,C0011946,Dialysis
CID000054454,Simvastatin,C2363731,Oropharyngeal Pain
CID000054454,Simvastatin,C0151692,Impaired Healing
CID000054454,Simvastatin,C0242698,Left Ventricular Dysfunction
CID000054454,Simvastatin,C0021818,Intervertebral Disc Displacement
CID000054454,Simvastatin,C0436498,Skeletal Survey Abnormal
CID000054454,Simvastatin,C0018821,Cardiac Operation
CID000054454,Simvastatin,C0008909,Claustrophobia
CID000054454,Simvastatin,C0155973,Gastric Ulcer Haemorrhage
CID000054454,Simvastatin,C0231710,Buttock Pain
CID000054454,Simvastatin,C1112343,Iliac Vein Occlusion
CID000054454,Simvastatin,C1142028,Peripheral Nerve Palsy
CID000054454,Simvastatin,C0948279,Beta Haemolytic Streptococcal Infection
CID000054454,Simvastatin,C0333355,Mucosal Inflammation
CID000054454,Simvastatin,C0002965,Angina Unstable
CID000054454,Simvastatin,C1095927,Narcotic Intoxication
CID000054454,Simvastatin,C0269895,Pelvic Haematoma
CID000054454,Simvastatin,C0743728,Eyeball Rupture
CID000054454,Simvastatin,C1869076,Clostridial Infection
CID000054454,Simvastatin,C0855265,Bacteria Stool Identified
CID000054454,Simvastatin,C2242498,Haemorrhagic Hepatic Cyst
CID000054454,Simvastatin,C0858701,Skin Hypertrophy
CID000054454,Simvastatin,C0851748,Gastric Disorder
CID000054454,Simvastatin,C1096389,Arteriovenous Fistula Site Haemorrhage
CID000054454,Simvastatin,C0853034,Blood Creatine Phosphokinase Increased
CID000054454,Simvastatin,C0853036,Lentigo Maligna Stage Unspecified
CID000054454,Simvastatin,C0521839,Influenza Like Illness
CID000054454,Simvastatin,C0851560,Ear Disorder
CID000054454,Simvastatin,C0424091,Decreased Interest
CID000054454,Simvastatin,C1096124,Meniscus Lesion
CID000054454,Simvastatin,C0234630,Tunnel Vision
CID000054454,Simvastatin,C0919887,Drug Ineffective
CID000054454,Simvastatin,C0034628,Radius Fracture
CID000054454,Simvastatin,C0004936,Mental Disorder
CID000054454,Simvastatin,C0398795,Secondary Immunodeficiency
CID000054454,Simvastatin,C0949690,Spinal Osteoarthritis
CID000054454,Simvastatin,C0407713,Jaw Operation
CID000054454,Simvastatin,C0026995,Spinal Myelogram
CID000054454,Simvastatin,C0240840,Pulse Pressure Decreased
CID000054454,Simvastatin,C0438717,Transaminases Increased
CID000054454,Simvastatin,C0948374,Large Intestinal Ulcer
CID000054454,Simvastatin,C0542476,Memory Impairment
CID000054454,Simvastatin,C0853760,Blood Potassium Increased
CID000054454,Simvastatin,C0233794,Memory Impairment
CID000054454,Simvastatin,C0024248,Lymphocele
CID000054454,Simvastatin,C0235039,Pallor
CID000054454,Simvastatin,C0852730,Arterial Bypass Operation
CID000054454,Simvastatin,C0349506,Photosensitivity Reaction
CID000054454,Simvastatin,C0158281,Cervicobrachial Syndrome
CID000054454,Simvastatin,C1608397,Device Occlusion
CID000054454,Simvastatin,C0151814,Coronary Artery Occlusion
CID000054454,Simvastatin,C0158288,Lumbar Spinal Stenosis
CID000054454,Simvastatin,C0543698,Drug Reaction With Eosinophilia And Systemic Symptoms
CID000054454,Simvastatin,C0853019,Blood Thyroid Stimulating Hormone Increased
CID000054454,Simvastatin,C2239176,Hepatic Cancer
CID000054454,Simvastatin,C0948089,Acute Coronary Syndrome
CID000054454,Simvastatin,C0919799,Heparin-Induced Thrombocytopenia
CID000054454,Simvastatin,C0001169,Coagulation Factor Deficiency
CID000054454,Simvastatin,C1141938,Ocular Icterus
CID000054454,Simvastatin,C0521481,Oedema Mucosal
CID000054454,Simvastatin,C0278619,Plasmacytoma
CID000054454,Simvastatin,C0151849,Blood Alkaline Phosphatase Increased
CID000054454,Simvastatin,C2981158,Loss Of Libido
CID000054454,Simvastatin,C0427055,Facial Paresis
CID000054454,Simvastatin,C0687133,Drug Interaction
CID000054454,Simvastatin,C0858343,Pco2 Increased
CID000054454,Simvastatin,C0861351,Breast Cancer In Situ
CID000054454,Simvastatin,C0086565,Hepatic Function Abnormal
CID000054454,Simvastatin,C0546817,Fluid Overload
CID000054454,Simvastatin,C0852113,Cardiovascular Disorder
CID000054454,Simvastatin,C0920251,Thoracic Vertebral Fracture
CID000054454,Simvastatin,C2004489,Regurgitation
CID000054454,Simvastatin,C1619692,Nephrogenic Fibrosing Dermopathy
CID000054454,Simvastatin,C1303192,Vertebroplasty
CID000054454,Simvastatin,C0853018,Blood Thyroid Stimulating Hormone
CID000054454,Simvastatin,C0546884,Hypovolaemia
CID000054454,Simvastatin,C0155652,Acute Myocardial Infarction
CID000054454,Simvastatin,C2242582,Cholestatic Liver Injury
CID000054454,Simvastatin,C1112230,Exploratory Operation
CID000054454,Simvastatin,C0876998,Intracardiac Thrombus
CID000054454,Simvastatin,C0185240,Bone Lesion
CID000054454,Simvastatin,C1142287,Ventricular Hypokinesia
CID000054454,Simvastatin,C0004760,Barotrauma
CID000054454,Simvastatin,C1536009,Oesophageal Oedema
CID000054454,Simvastatin,C1510497,Lenticular Opacities
CID000054454,Simvastatin,C0025274,Menarche
CID000054454,Simvastatin,C0854146,Blood Test Abnormal
CID000054454,Simvastatin,C0022354,Jaundice Cholestatic
CID000054454,Simvastatin,C0026857,Musculoskeletal Disorder
CID000054454,Simvastatin,C0037384,Snoring
CID000054454,Simvastatin,C0011570,Depression
CID000054454,Simvastatin,C1720775,Renal Tubular Necrosis
CID000054454,Simvastatin,C0241075,Skin Induration
CID000054454,Simvastatin,C0278480,Colon Cancer Stage I
CID000054454,Simvastatin,C0006147,Breast Feeding
CID000054454,Simvastatin,C0236068,Swollen Tongue
CID000054454,Simvastatin,C2363801,Oxygen Saturation Decreased
CID000054454,Simvastatin,C0877025,Prothrombin Time Prolonged
CID000054454,Simvastatin,C1321686,Faecaloma
CID000054454,Simvastatin,C0236816,Acute Stress Disorder
CID000054454,Simvastatin,C0017636,Glioblastoma
CID000054454,Simvastatin,C0030662,Gambling
CID000054454,Simvastatin,C0265101,Carotid Artery Occlusion
CID000054454,Simvastatin,C1096266,Alpha Haemolytic Streptococcal Infection
CID000054454,Simvastatin,C0037317,Sleep Disorder
CID000054454,Simvastatin,C0521834,Eye Infection Staphylococcal
CID000054454,Simvastatin,C0242350,Erectile Dysfunction
CID000054454,Simvastatin,C1167765,Wound Infection Staphylococcal
CID000054454,Simvastatin,C3267047,Immune-Mediated Necrotising Myopathy
CID000054454,Simvastatin,C1096666,Thyroid Cancer Metastatic
CID000054454,Simvastatin,C0013378,Dysgeusia
CID000054454,Simvastatin,C0152964,Streptococcal Bacteraemia
CID000054454,Simvastatin,C0853257,Myoglobin Blood Increased
CID000054454,Simvastatin,C2242708,Hypertransaminasaemia
CID000054454,Simvastatin,C0235309,Abdominal Discomfort
CID000054454,Simvastatin,C0338656,Cognitive Disorder
CID000054454,Simvastatin,C0019125,Haematotympanum
CID000054454,Simvastatin,C0079487,Helicobacter Infection
CID000054454,Simvastatin,C1696153,Pitting Oedema
CID000054454,Simvastatin,C0009450,Infection
CID000054454,Simvastatin,C0853225,International Normalised Ratio Increased
CID000054454,Simvastatin,C1443060,Feeling Abnormal
CID000002244,Aspirin,C0949040,Sinus Disorder
CID000002244,Aspirin,C0597457,Skeletal Injury
CID000002244,Aspirin,C0856054,Mental Status Changes
CID000002244,Aspirin,C0853557,Computerised Tomogram
CID000002244,Aspirin,C0238158,Haemochromatosis
CID000002244,Aspirin,C0349336,Emotional Disorder
CID000002244,Aspirin,C0016770,Frustration
CID000002244,Aspirin,C1096132,Csf Monocyte Count Decreased
CID000002244,Aspirin,C0743668,Limb Injury
CID000002244,Aspirin,C0877217,Abasia
CID000002244,Aspirin,C0677958,Non-Hodgkin'S Lymphoma Stage I
CID000002244,Aspirin,C0948027,Pharmaceutical Product Complaint
CID000002244,Aspirin,C0268030,Acidosis
CID000002244,Aspirin,C0022410,Joint Instability
CID000002244,Aspirin,C0473120,Abdominal Haematoma
CID000002244,Aspirin,C0473124,Perirenal Haematoma
CID000002244,Aspirin,C0948238,Erectile Dysfunction
CID000002244,Aspirin,C0877289,Feeling Guilty
CID000002244,Aspirin,C0235431,Blood Creatinine Increased
CID000002244,Aspirin,C0277884,Blood Pressure Systolic Increased
CID000002244,Aspirin,C0852756,Dupuytren'S Contracture
CID000002244,Aspirin,C0919625,Blood Phosphorus Increased
CID000002244,Aspirin,C0158266,Intervertebral Disc Degeneration
CID000002244,Aspirin,C0919785,Transferrin Saturation Decreased
CID000002244,Aspirin,C0239134,Productive Cough
CID000002244,Aspirin,C1328548,Breast Cancer Stage I
CID000002244,Aspirin,C0426390,Bladder Spasm
CID000002244,Aspirin,C0521509,Injection Site Induration
CID000002244,Aspirin,C0233571,Agitation
CID000002244,Aspirin,C0262544,Lumbar Vertebral Fracture
CID000002244,Aspirin,C1167683,Acquired Diaphragmatic Eventration
CID000002244,Aspirin,C0438167,Electrocardiogram T Wave Abnormal
CID000002244,Aspirin,C1740800,Expired Drug Administered
CID000002244,Aspirin,C1504561,Hypophagia
CID000002244,Aspirin,C0235802,Pupillary Reflex Impaired
CID000002244,Aspirin,C1328381,Chronic Left Ventricular Failure
CID000002244,Aspirin,C0340238,Bronchial Infection
CID000002244,Aspirin,C0392106,Hepatic Artery Thrombosis
CID000002244,Aspirin,C0853225,International Normalised Ratio Increased
CID000002244,Aspirin,C0302295,Rash
CID000002244,Aspirin,C0018821,Cardiac Operation
CID000002244,Aspirin,C0235378,Hepatotoxicity
CID000002244,Aspirin,C0241166,Skin Tightness
CID000002244,Aspirin,C1522133,Blood Cholesterol Increased
CID000002244,Aspirin,C0002965,Angina Unstable
CID000002244,Aspirin,C1095927,Narcotic Intoxication
CID000002244,Aspirin,C1869076,Clostridial Infection
CID000002244,Aspirin,C0596706,Hip Surgery
CID000002244,Aspirin,C0869219,Speech Disorder
CID000002244,Aspirin,C0877025,Prothrombin Time Prolonged
CID000002244,Aspirin,C0877027,Joint Range Of Motion Decreased
CID000002244,Aspirin,C0948873,Influenza
CID000002244,Aspirin,C0858701,Skin Hypertrophy
CID000002244,Aspirin,C0853034,Blood Creatine Phosphokinase Increased
CID000002244,Aspirin,C1457917,Urethral Dilatation
CID000002244,Aspirin,C1610082,Occult Blood Positive
CID000002244,Aspirin,C1096403,Ejection Fraction Decreased
CID000002244,Aspirin,C0241863,Diabetes Mellitus
CID000002244,Aspirin,C0853785,Blood Iron Decreased
CID000002244,Aspirin,C1536116,Posture Abnormal
CID000002244,Aspirin,C1142474,Metastatic Neoplasm
CID000002244,Aspirin,C0409497,Joint Injury
CID000002244,Aspirin,C1141938,Ocular Icterus
CID000002244,Aspirin,C0700361,Emotional Distress
CID000002244,Aspirin,C0151539,Blood Urea Increased
CID000002244,Aspirin,C0740321,Catheterisation Cardiac
CID000002244,Aspirin,C0151746,Renal Impairment
CID000002244,Aspirin,C0241697,Vitamin B12 Decreased
CID000002244,Aspirin,C0522776,Stent Placement
CID000002244,Aspirin,C0235601,Hypocoagulable State
CID000002244,Aspirin,C0476280,Musculoskeletal Chest Pain
CID000002244,Aspirin,C0476281,Non-Cardiac Chest Pain
CID000002244,Aspirin,C0232461,Increased Appetite
CID000002244,Aspirin,C1168267,Hyperventilation
CID000002244,Aspirin,C0151888,Hyporeflexia
CID000002244,Aspirin,C2609413,Product Substitution Issue
CID000002244,Aspirin,C0241237,Dysstasia
CID000002244,Aspirin,C0026205,Miosis
CID000002244,Aspirin,C1504373,Bowel Movement Irregularity
CID000002244,Aspirin,C0425791,Peau D'Orange
CID000002244,Aspirin,C0264523,Pulmonary Calcification
