drug1_id,drug2_id,drug1_name,drug2_name,interaction_type
DB00006,DB06206,Bivalirudin,Sugammadex,anticoagulant activities
DB00006,DB09211,Bivalirudin,Limaprost,risk or severity of adverse effects
DB00006,DB09070,Bivalirudin,Tibolone,anticoagulant activities
DB00006,DB00465,Bivalirudin,Ketorolac,anticoagulant activities
DB00006,DB00586,Bivalirudin,Diclofenac,anticoagulant activities
DB00006,DB00712,Bivalirudin,Flurbiprofen,anticoagulant activities
DB00006,DB00963,Bivalirudin,Bromfenac,anticoagulant activities
DB00006,DB06802,Bivalirudin,Nepafenac,anticoagulant activities
DB00006,DB00179,Bivalirudin,Masoprocol,anticoagulant activities
DB00006,DB00210,Bivalirudin,Adapalene,anticoagulant activities
DB00006,DB00244,Bivalirudin,Mesalazine,anticoagulant activities
DB00006,DB00328,Bivalirudin,Indomethacin,anticoagulant activities
DB00006,DB00337,Bivalirudin,Pimecrolimus,anticoagulant activities
DB00006,DB00461,Bivalirudin,Nabumetone,anticoagulant activities
DB00006,DB00469,Bivalirudin,Tenoxicam,anticoagulant activities
DB00006,DB00482,Bivalirudin,Celecoxib,anticoagulant activities
DB00006,DB00500,Bivalirudin,Tolmetin,anticoagulant activities
DB00006,DB00533,Bivalirudin,Rofecoxib,anticoagulant activities
DB00006,DB00554,Bivalirudin,Piroxicam,anticoagulant activities
DB00006,DB00573,Bivalirudin,Fenoprofen,anticoagulant activities
DB00006,DB00580,Bivalirudin,Valdecoxib,anticoagulant activities
DB00006,DB00605,Bivalirudin,Sulindac,anticoagulant activities
DB00006,DB00608,Bivalirudin,Chloroquine,anticoagulant activities
DB00006,DB00688,Bivalirudin,Mycophenolate mofetil,anticoagulant activities
DB00006,DB00735,Bivalirudin,Naftifine,anticoagulant activities
DB00006,DB00744,Bivalirudin,Zileuton,anticoagulant activities
DB00006,DB00749,Bivalirudin,Etodolac,anticoagulant activities
DB00006,DB00768,Bivalirudin,Olopatadine,anticoagulant activities
DB00006,DB00784,Bivalirudin,Mefenamic acid,anticoagulant activities
DB00006,DB00788,Bivalirudin,Naproxen,anticoagulant activities
DB00006,DB00795,Bivalirudin,Sulfasalazine,anticoagulant activities
DB00006,DB00812,Bivalirudin,Phenylbutazone,anticoagulant activities
DB00006,DB00814,Bivalirudin,Meloxicam,anticoagulant activities
DB00006,DB00821,Bivalirudin,Carprofen,anticoagulant activities
DB00006,DB00861,Bivalirudin,Diflunisal,anticoagulant activities
DB00006,DB00870,Bivalirudin,Suprofen,anticoagulant activities
DB00006,DB00936,Bivalirudin,Salicylic acid,anticoagulant activities
DB00006,DB00939,Bivalirudin,Meclofenamic acid,anticoagulant activities
DB00006,DB00945,Bivalirudin,Acetylsalicylic acid,anticoagulant activities
DB00006,DB00972,Bivalirudin,Azelastine,anticoagulant activities
DB00006,DB00991,Bivalirudin,Oxaprozin,anticoagulant activities
DB00006,DB01009,Bivalirudin,Ketoprofen,anticoagulant activities
DB00006,DB01014,Bivalirudin,Balsalazide,anticoagulant activities
DB00006,DB01024,Bivalirudin,Mycophenolic acid,anticoagulant activities
DB00006,DB01050,Bivalirudin,Ibuprofen,anticoagulant activities
DB00006,DB01097,Bivalirudin,Leflunomide,anticoagulant activities
DB00006,DB01250,Bivalirudin,Olsalazine,anticoagulant activities
DB00006,DB01283,Bivalirudin,Lumiracoxib,anticoagulant activities
DB00006,DB01397,Bivalirudin,Magnesium salicylate,anticoagulant activities
DB00006,DB01399,Bivalirudin,Salsalate,anticoagulant activities
DB00006,DB01401,Bivalirudin,Choline magnesium trisalicylate,anticoagulant activities
DB00006,DB01435,Bivalirudin,Antipyrine,anticoagulant activities
DB00006,DB01600,Bivalirudin,Tiaprofenic acid,anticoagulant activities
DB00006,DB01628,Bivalirudin,Etoricoxib,anticoagulant activities
DB00006,DB02709,Bivalirudin,Resveratrol,anticoagulant activities
DB00006,DB03585,Bivalirudin,Oxyphenbutazone,anticoagulant activities
DB00006,DB04552,Bivalirudin,Niflumic Acid,anticoagulant activities
DB00006,DB04743,Bivalirudin,Nimesulide,anticoagulant activities
DB00006,DB04817,Bivalirudin,Metamizole,anticoagulant activities
DB00006,DB04951,Bivalirudin,Pirfenidone,anticoagulant activities
DB00006,DB05676,Bivalirudin,Apremilast,anticoagulant activities
DB00006,DB06196,Bivalirudin,Icatibant,anticoagulant activities
DB00006,DB06725,Bivalirudin,Lornoxicam,anticoagulant activities
DB00006,DB06736,Bivalirudin,Aceclofenac,anticoagulant activities
DB00006,DB06737,Bivalirudin,Zaltoprofen,anticoagulant activities
DB00006,DB06739,Bivalirudin,Seratrodast,anticoagulant activities
DB00006,DB07615,Bivalirudin,Tranilast,anticoagulant activities
DB00006,DB08439,Bivalirudin,Parecoxib,anticoagulant activities
DB00006,DB08797,Bivalirudin,Salicylamide,anticoagulant activities
DB00006,DB08880,Bivalirudin,Teriflunomide,anticoagulant activities
DB00006,DB08976,Bivalirudin,Floctafenine,anticoagulant activities
DB00006,DB08981,Bivalirudin,Fenbufen,anticoagulant activities
DB00006,DB08984,Bivalirudin,Etofenamate,anticoagulant activities
DB00006,DB08991,Bivalirudin,Epirizole,anticoagulant activities
DB00006,DB09212,Bivalirudin,Loxoprofen,anticoagulant activities
DB00006,DB09216,Bivalirudin,Tolfenamic Acid,anticoagulant activities
DB00006,DB09218,Bivalirudin,Clonixin,anticoagulant activities
DB00006,DB09288,Bivalirudin,Propacetamol,anticoagulant activities
DB00006,DB11672,Bivalirudin,Curcumin,anticoagulant activities
DB00006,DB12598,Bivalirudin,Nafamostat,anticoagulant activities
DB00006,DB13063,Bivalirudin,Parthenolide,anticoagulant activities
DB00006,DB13167,Bivalirudin,Alclofenac,anticoagulant activities
DB00006,DB13346,Bivalirudin,Bufexamac,anticoagulant activities
DB00006,DB09084,Bivalirudin,Benzydamine,anticoagulant activities
DB00006,DB00163,Bivalirudin,Vitamin E,anticoagulant activities
DB00006,DB00266,Bivalirudin,Dicoumarol,anticoagulant activities
DB00006,DB00278,Bivalirudin,Argatroban,anticoagulant activities
DB00006,DB00498,Bivalirudin,Phenindione,anticoagulant activities
DB00006,DB00569,Bivalirudin,Fondaparinux sodium,anticoagulant activities
DB00006,DB00682,Bivalirudin,Warfarin,anticoagulant activities
DB00006,DB00946,Bivalirudin,Phenprocoumon,anticoagulant activities
DB00006,DB00974,Bivalirudin,Edetic Acid,anticoagulant activities
DB00006,DB01418,Bivalirudin,Acenocoumarol,anticoagulant activities
DB00006,DB04272,Bivalirudin,Citric Acid,anticoagulant activities
DB00006,DB04898,Bivalirudin,Ximelagatran,anticoagulant activities
DB00006,DB06154,Bivalirudin,Pentaerythritol Tetranitrate,anticoagulant activities
DB00006,DB11268,Bivalirudin,Protocatechualdehyde,anticoagulant activities
DB00006,DB13136,Bivalirudin,Fluindione,anticoagulant activities
DB00006,DB09125,Bivalirudin,Potassium Citrate,anticoagulant activities
DB00006,DB09154,Bivalirudin,Sodium Citrate,anticoagulant activities
DB00006,DB00233,Bivalirudin,Aminosalicylic Acid,anticoagulant activities
DB00006,DB06807,Bivalirudin,Phenyl aminosalicylate,anticoagulant activities
DB00006,DB09543,Bivalirudin,Methyl salicylate,anticoagulant activities
DB00006,DB11079,Bivalirudin,Trolamine salicylate,anticoagulant activities
DB00006,DB00208,Bivalirudin,Ticlopidine,anticoagulant activities
DB00006,DB00775,Bivalirudin,Tirofiban,anticoagulant activities
DB00006,DB01166,Bivalirudin,Cilostazol,anticoagulant activities
DB00006,DB00261,Bivalirudin,Anagrelide,anticoagulant activities
DB00006,DB00412,Bivalirudin,Rosiglitazone,anticoagulant activities
DB00006,DB00374,Bivalirudin,Treprostinil,anticoagulant activities
DB00006,DB00758,Bivalirudin,Clopidogrel,anticoagulant activities
DB00006,DB00975,Bivalirudin,Dipyridamole,anticoagulant activities
DB00006,DB01088,Bivalirudin,Iloprost,anticoagulant activities
DB00006,DB01240,Bivalirudin,Epoprostenol,anticoagulant activities
DB00006,DB06209,Bivalirudin,Prasugrel,anticoagulant activities
DB00006,DB06441,Bivalirudin,Cangrelor,anticoagulant activities
DB00006,DB08814,Bivalirudin,Triflusal,anticoagulant activities
DB00006,DB08816,Bivalirudin,Ticagrelor,anticoagulant activities
DB00006,DB08994,Bivalirudin,Ditazole,anticoagulant activities
DB00006,DB11362,Bivalirudin,Selexipag,anticoagulant activities
DB00006,DB00235,Bivalirudin,Milrinone,anticoagulant activities
DB00006,DB00751,Bivalirudin,Epinastine,anticoagulant activities
DB00006,DB00770,Bivalirudin,Alprostadil,anticoagulant activities
DB00006,DB00806,Bivalirudin,Pentoxifylline,anticoagulant activities
DB00006,DB01207,Bivalirudin,Ridogrel,anticoagulant activities
DB00006,DB01236,Bivalirudin,Sevoflurane,anticoagulant activities
DB00006,DB05266,Bivalirudin,Ibudilast,anticoagulant activities
DB00006,DB08887,Bivalirudin,Icosapent ethyl,anticoagulant activities
DB00006,DB08954,Bivalirudin,Ifenprodil,anticoagulant activities
DB00006,DB09283,Bivalirudin,Trapidil,anticoagulant activities
DB00006,DB00277,Bivalirudin,Theophylline,serum concentration
DB00006,DB00651,Bivalirudin,Dyphylline,serum concentration
DB00006,DB01223,Bivalirudin,Aminophylline,serum concentration
DB00006,DB00313,Bivalirudin,Valproic Acid,serum concentration
DB00006,DB00495,Bivalirudin,Zidovudine,serum concentration
DB00014,DB00204,Goserelin,Dofetilide,QTc-prolonging activities
DB00014,DB00215,Goserelin,Citalopram,QTc-prolonging activities
DB00014,DB00246,Goserelin,Ziprasidone,QTc-prolonging activities
DB00014,DB00261,Goserelin,Anagrelide,QTc-prolonging activities
DB00014,DB00280,Goserelin,Disopyramide,QTc-prolonging activities
DB00014,DB00308,Goserelin,Ibutilide,QTc-prolonging activities
DB00014,DB00468,Goserelin,Quinine,QTc-prolonging activities
DB00014,DB00472,Goserelin,Fluoxetine,QTc-prolonging activities
DB00014,DB00489,Goserelin,Sotalol,QTc-prolonging activities
DB00014,DB00539,Goserelin,Toremifene,QTc-prolonging activities
DB00014,DB00604,Goserelin,Cisapride,QTc-prolonging activities
DB00014,DB00679,Goserelin,Thioridazine,QTc-prolonging activities
DB00014,DB00834,Goserelin,Mifepristone,QTc-prolonging activities
DB00014,DB00875,Goserelin,Flupentixol,QTc-prolonging activities
DB00014,DB00908,Goserelin,Quinidine,QTc-prolonging activities
DB00014,DB01035,Goserelin,Procainamide,QTc-prolonging activities
DB00014,DB01100,Goserelin,Pimozide,QTc-prolonging activities
DB00014,DB01118,Goserelin,Amiodarone,QTc-prolonging activities
DB00014,DB01169,Goserelin,Arsenic trioxide,QTc-prolonging activities
DB00014,DB01175,Goserelin,Escitalopram,QTc-prolonging activities
DB00014,DB01184,Goserelin,Domperidone,QTc-prolonging activities
DB00014,DB01224,Goserelin,Quetiapine,QTc-prolonging activities
DB00014,DB01267,Goserelin,Paliperidone,QTc-prolonging activities
DB00014,DB01601,Goserelin,Lopinavir,QTc-prolonging activities
DB00014,DB01624,Goserelin,Zuclopenthixol,QTc-prolonging activities
DB00014,DB04844,Goserelin,Tetrabenazine,QTc-prolonging activities
DB00014,DB04855,Goserelin,Dronedarone,QTc-prolonging activities
DB00014,DB04868,Goserelin,Nilotinib,QTc-prolonging activities
DB00014,DB04946,Goserelin,Iloperidone,QTc-prolonging activities
DB00014,DB05294,Goserelin,Vandetanib,QTc-prolonging activities
DB00014,DB06216,Goserelin,Asenapine,QTc-prolonging activities
DB00014,DB06697,Goserelin,Artemether,QTc-prolonging activities
DB00014,DB06708,Goserelin,Lumefantrine,QTc-prolonging activities
DB00014,DB08881,Goserelin,Vemurafenib,QTc-prolonging activities
DB00014,DB09039,Goserelin,Eliglustat,QTc-prolonging activities
DB00014,DB00199,Goserelin,Erythromycin,QTc-prolonging activities
DB00014,DB00207,Goserelin,Azithromycin,QTc-prolonging activities
DB00014,DB00218,Goserelin,Moxifloxacin,QTc-prolonging activities
DB00014,DB00263,Goserelin,Sulfisoxazole,QTc-prolonging activities
DB00014,DB00333,Goserelin,Methadone,QTc-prolonging activities
DB00014,DB00363,Goserelin,Clozapine,QTc-prolonging activities
DB00014,DB00420,Goserelin,Promazine,QTc-prolonging activities
DB00014,DB00450,Goserelin,Droperidol,QTc-prolonging activities
DB00014,DB00477,Goserelin,Chlorpromazine,QTc-prolonging activities
DB00014,DB00502,Goserelin,Haloperidol,QTc-prolonging activities
DB00014,DB00537,Goserelin,Ciprofloxacin,QTc-prolonging activities
DB00014,DB00556,Goserelin,Perflutren,QTc-prolonging activities
DB00014,DB00608,Goserelin,Chloroquine,QTc-prolonging activities
DB00014,DB00738,Goserelin,Pentamidine,QTc-prolonging activities
DB00014,DB00743,Goserelin,Gadobenic acid,QTc-prolonging activities
DB00014,DB00757,Goserelin,Dolasetron,QTc-prolonging activities
DB00014,DB00889,Goserelin,Granisetron,QTc-prolonging activities
DB00014,DB00904,Goserelin,Ondansetron,QTc-prolonging activities
DB00014,DB00976,Goserelin,Telithromycin,QTc-prolonging activities
DB00014,DB01087,Goserelin,Primaquine,QTc-prolonging activities
DB00014,DB01137,Goserelin,Levofloxacin,QTc-prolonging activities
DB00014,DB01155,Goserelin,Gemifloxacin,QTc-prolonging activities
DB00014,DB01165,Goserelin,Ofloxacin,QTc-prolonging activities
DB00014,DB01182,Goserelin,Propafenone,QTc-prolonging activities
DB00014,DB01195,Goserelin,Flecainide,QTc-prolonging activities
DB00014,DB01211,Goserelin,Clarithromycin,QTc-prolonging activities
DB00014,DB01232,Goserelin,Saquinavir,QTc-prolonging activities
DB00014,DB06402,Goserelin,Telavancin,QTc-prolonging activities
DB00014,DB06589,Goserelin,Pazopanib,QTc-prolonging activities
DB00014,DB06603,Goserelin,Panobinostat,QTc-prolonging activities
DB00014,DB08865,Goserelin,Crizotinib,QTc-prolonging activities
DB00014,DB08903,Goserelin,Bedaquiline,QTc-prolonging activities
DB00014,DB09063,Goserelin,Ceritinib,QTc-prolonging activities
DB00014,DB09078,Goserelin,Lenvatinib,QTc-prolonging activities
DB00014,DB09083,Goserelin,Ivabradine,QTc-prolonging activities
DB00014,DB01229,Goserelin,Paclitaxel,risk or severity of adverse effects
DB00014,DB01248,Goserelin,Docetaxel,risk or severity of adverse effects
DB00014,DB06772,Goserelin,Cabazitaxel,risk or severity of adverse effects
DB00014,DB00390,Goserelin,Digoxin,cardiotoxic activities
DB00014,DB00511,Goserelin,Acetyldigitoxin,cardiotoxic activities
DB00014,DB01078,Goserelin,Deslanoside,cardiotoxic activities
DB00014,DB01092,Goserelin,Ouabain,cardiotoxic activities
DB00014,DB01396,Goserelin,Digitoxin,cardiotoxic activities
DB00014,DB00531,Goserelin,Cyclophosphamide,cardiotoxic activities
DB00014,DB00104,Goserelin,Octreotide,QTc-prolonging activities
DB00014,DB00188,Goserelin,Bortezomib,QTc-prolonging activities
DB00014,DB00196,Goserelin,Fluconazole,QTc-prolonging activities
DB00014,DB00220,Goserelin,Nelfinavir,QTc-prolonging activities
DB00014,DB00243,Goserelin,Ranolazine,QTc-prolonging activities
DB00014,DB00270,Goserelin,Isradipine,QTc-prolonging activities
DB00014,DB00285,Goserelin,Venlafaxine,QTc-prolonging activities
DB00014,DB00289,Goserelin,Atomoxetine,QTc-prolonging activities
DB00014,DB00321,Goserelin,Amitriptyline,QTc-prolonging activities
DB00014,DB00334,Goserelin,Olanzapine,QTc-prolonging activities
DB00014,DB00344,Goserelin,Protriptyline,QTc-prolonging activities
DB00014,DB00346,Goserelin,Alfuzosin,QTc-prolonging activities
DB00014,DB00358,Goserelin,Mefloquine,QTc-prolonging activities
DB00014,DB00370,Goserelin,Mirtazapine,QTc-prolonging activities
DB00014,DB00374,Goserelin,Treprostinil,QTc-prolonging activities
DB00014,DB00398,Goserelin,Sorafenib,QTc-prolonging activities
DB00014,DB00440,Goserelin,Trimethoprim,QTc-prolonging activities
DB00014,DB00458,Goserelin,Imipramine,QTc-prolonging activities
DB00014,DB00503,Goserelin,Ritonavir,QTc-prolonging activities
DB00014,DB00529,Goserelin,Foscarnet,QTc-prolonging activities
DB00014,DB00540,Goserelin,Nortriptyline,QTc-prolonging activities
DB00014,DB00543,Goserelin,Amoxapine,QTc-prolonging activities
DB00014,DB00557,Goserelin,Hydroxyzine,QTc-prolonging activities
DB00014,DB00582,Goserelin,Voriconazole,QTc-prolonging activities
DB00014,DB00622,Goserelin,Nicardipine,QTc-prolonging activities
DB00014,DB00656,Goserelin,Trazodone,QTc-prolonging activities
DB00014,DB00674,Goserelin,Galantamine,QTc-prolonging activities
DB00014,DB00675,Goserelin,Tamoxifen,QTc-prolonging activities
DB00014,DB00691,Goserelin,Moexipril,QTc-prolonging activities
DB00014,DB00697,Goserelin,Tizanidine,QTc-prolonging activities
DB00014,DB00710,Goserelin,Ibandronate,QTc-prolonging activities
DB00014,DB00714,Goserelin,Apomorphine,QTc-prolonging activities
DB00014,DB00715,Goserelin,Paroxetine,QTc-prolonging activities
DB00014,DB00726,Goserelin,Trimipramine,QTc-prolonging activities
DB00014,DB00734,Goserelin,Risperidone,QTc-prolonging activities
DB00014,DB00753,Goserelin,Isoflurane,QTc-prolonging activities
DB00014,DB00808,Goserelin,Indapamide,QTc-prolonging activities
DB00014,DB00818,Goserelin,Propofol,QTc-prolonging activities
DB00014,DB00862,Goserelin,Vardenafil,QTc-prolonging activities
DB00014,DB00871,Goserelin,Terbutaline,QTc-prolonging activities
DB00014,DB00915,Goserelin,Amantadine,QTc-prolonging activities
DB00014,DB00916,Goserelin,Metronidazole,QTc-prolonging activities
DB00014,DB00927,Goserelin,Famotidine,QTc-prolonging activities
DB00014,DB00934,Goserelin,Maprotiline,QTc-prolonging activities
DB00014,DB00938,Goserelin,Salmeterol,QTc-prolonging activities
DB00014,DB00949,Goserelin,Felbamate,QTc-prolonging activities
DB00014,DB00983,Goserelin,Formoterol,QTc-prolonging activities
DB00014,DB01001,Goserelin,Salbutamol,QTc-prolonging activities
DB00014,DB01015,Goserelin,Sulfamethoxazole,QTc-prolonging activities
DB00014,DB01026,Goserelin,Ketoconazole,QTc-prolonging activities
DB00014,DB01036,Goserelin,Tolterodine,QTc-prolonging activities
DB00014,DB01059,Goserelin,Norfloxacin,QTc-prolonging activities
DB00014,DB01069,Goserelin,Promethazine,QTc-prolonging activities
DB00014,DB01072,Goserelin,Atazanavir,QTc-prolonging activities
DB00014,DB01075,Goserelin,Diphenhydramine,QTc-prolonging activities
DB00014,DB01104,Goserelin,Sertraline,QTc-prolonging activities
DB00014,DB01142,Goserelin,Doxepin,QTc-prolonging activities
DB00014,DB01151,Goserelin,Desipramine,QTc-prolonging activities
DB00014,DB01167,Goserelin,Itraconazole,QTc-prolonging activities
DB00014,DB01189,Goserelin,Desflurane,QTc-prolonging activities
DB00014,DB01233,Goserelin,Metoclopramide,QTc-prolonging activities
DB00014,DB01236,Goserelin,Sevoflurane,QTc-prolonging activities
DB00014,DB01238,Goserelin,Aripiprazole,QTc-prolonging activities
DB00014,DB01242,Goserelin,Clomipramine,QTc-prolonging activities
DB00014,DB01254,Goserelin,Dasatinib,QTc-prolonging activities
DB00014,DB01259,Goserelin,Lapatinib,QTc-prolonging activities
DB00014,DB01263,Goserelin,Posaconazole,QTc-prolonging activities
DB00014,DB01268,Goserelin,Sunitinib,QTc-prolonging activities
DB00014,DB01274,Goserelin,Arformoterol,QTc-prolonging activities
DB00014,DB01403,Goserelin,Methotrimeprazine,QTc-prolonging activities
DB00014,DB01591,Goserelin,Solifenacin,QTc-prolonging activities
DB00014,DB01623,Goserelin,Thiothixene,QTc-prolonging activities
DB00014,DB02546,Goserelin,Vorinostat,QTc-prolonging activities
DB00014,DB04953,Goserelin,Ezogabine,QTc-prolonging activities
DB00014,DB05039,Goserelin,Indacaterol,QTc-prolonging activities
DB00014,DB06663,Goserelin,Pasireotide,QTc-prolonging activities
DB00014,DB06699,Goserelin,Degarelix,QTc-prolonging activities
DB00014,DB06788,Goserelin,Histrelin,QTc-prolonging activities
DB00014,DB06825,Goserelin,Triptorelin,QTc-prolonging activities
DB00014,DB08864,Goserelin,Rilpivirine,QTc-prolonging activities
DB00014,DB08868,Goserelin,Fingolimod,QTc-prolonging activities
DB00014,DB08871,Goserelin,Eribulin,QTc-prolonging activities
DB00014,DB08893,Goserelin,Mirabegron,QTc-prolonging activities
DB00014,DB08912,Goserelin,Dabrafenib,QTc-prolonging activities
DB00014,DB09080,Goserelin,Olodaterol,QTc-prolonging activities
DB00014,DB09082,Goserelin,Vilanterol,QTc-prolonging activities
DB00014,DB09277,Goserelin,Choline C 11,therapeutic efficacy
DB00014,DB00222,Goserelin,Glimepiride,therapeutic efficacy
DB00014,DB00284,Goserelin,Acarbose,therapeutic efficacy
DB00014,DB00331,Goserelin,Metformin,therapeutic efficacy
DB00014,DB00412,Goserelin,Rosiglitazone,therapeutic efficacy
DB00014,DB00414,Goserelin,Acetohexamide,therapeutic efficacy
DB00014,DB00419,Goserelin,Miglustat,therapeutic efficacy
DB00014,DB00491,Goserelin,Miglitol,therapeutic efficacy
DB00014,DB00672,Goserelin,Chlorpropamide,therapeutic efficacy
DB00014,DB00731,Goserelin,Nateglinide,therapeutic efficacy
DB00014,DB00839,Goserelin,Tolazamide,therapeutic efficacy
DB00014,DB00912,Goserelin,Repaglinide,therapeutic efficacy
DB00014,DB00914,Goserelin,Phenformin,therapeutic efficacy
DB00014,DB01016,Goserelin,Glyburide,therapeutic efficacy
DB00014,DB01067,Goserelin,Glipizide,therapeutic efficacy
DB00014,DB01120,Goserelin,Gliclazide,therapeutic efficacy
DB00014,DB01124,Goserelin,Tolbutamide,therapeutic efficacy
